Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT4rqSIkoaIiH1SJnmuAkk3u,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-21 00:00:00
NXT7d93cuBjLSggOnzH4yxpEp,Interest,NEXO,0.69956142,NEXO,0.69956142,$0.65,-,-,"approved / NEXO Interest Earned",2025-12-20 06:00:00
NXT5CNqH1NxdAhNRhB8faWva1,Interest,NEXO,4.35938365,NEXO,4.35938365,$4.03,-,-,"approved / 2.114082 XRP",2025-12-20 06:00:00
NXT4JWvlZlMcGSkBeTWghre1b,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-20 00:00:00
NXT3B5HTmkxgS4BXQIO4nqhwb,Interest,NEXO,0.69916155,NEXO,0.69916155,$0.63,-,-,"approved / NEXO Interest Earned",2025-12-19 06:00:00
NXT1DxGjzyKPx6XDKJtHBsr5p,Interest,NEXO,4.23834490,NEXO,4.23834490,$3.82,-,-,"approved / 2.114082 XRP",2025-12-19 06:00:00
NXT5vUOv3M2hdN29KgIQVhWjX,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-19 00:00:00
NXT2qQwpYkCBq0zJIdXhbTdol,Interest,NEXO,4.29020954,NEXO,4.29020954,$3.94,-,-,"approved / 2.114082 XRP",2025-12-18 06:00:00
NXTrNmjAy2lHL7BFw1r6LXH6,Interest,NEXO,0.69875751,NEXO,0.69875751,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-18 06:00:00
NXT6zpcG2SbZNowtpCtumVVuk,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-18 00:00:00
NXT4yXeGwArtTGmkHT98lK6Hm,Interest,NEXO,0.69834073,NEXO,0.69834073,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-17 06:00:00
NXTgvvRi2L9WmcIQwRttiZ8,Interest,NEXO,4.44791048,NEXO,4.44791048,$4.08,-,-,"approved / 2.114082 XRP",2025-12-17 06:00:00
NXTFjzkWsH8wXxkJt9Pb6otk,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-17 00:00:00
NXT6Kui7pcytATuOc5DzRtmO9,Interest,NEXO,4.36579966,NEXO,4.36579966,$4.01,-,-,"approved / 2.114082 XRP",2025-12-16 06:00:00
NXT5QLyl418m54xSWZWMzMzWM,Interest,NEXO,0.69793064,NEXO,0.69793064,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-16 06:00:00
NXT4xw1y368HdXbSAezfQY1rU,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-16 00:00:00
NXT6cGGu1VKdIfZxpy6KERted,Interest,NEXO,4.45352372,NEXO,4.45352372,$4.18,-,-,"approved / 2.114082 XRP",2025-12-15 06:00:00
NXT3xcZwEiGfvN9OSEVUGizW7,Interest,NEXO,0.69751348,NEXO,0.69751348,$0.66,-,-,"approved / NEXO Interest Earned",2025-12-15 06:00:00
NXT2y3nRaZVMcZOLVO7bxQmPb,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-15 00:00:00
NXT6AsfaJr8OtRRTjDwJvhzBF,Interest,NEXO,0.69710154,NEXO,0.69710154,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-14 06:00:00
NXT3wj0ZsNu5z83iswVYK9ke8,Interest,NEXO,4.38947874,NEXO,4.38947874,$4.28,-,-,"approved / 2.114082 XRP",2025-12-14 06:00:00
NXT4WjDZXZMA6cYATicPCW9AH,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-14 00:00:00
NXT7W6cS3XkeLsaQ096JlTYVH,Interest,NEXO,4.34775596,NEXO,4.34775596,$4.24,-,-,"approved / 2.114082 XRP",2025-12-13 06:00:00
NXTXY6H7cf0uazoRAr2iOpYS,Interest,NEXO,0.69669300,NEXO,0.69669300,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-13 06:00:00
NXT718uF5ZUi3hT8Dt7x45aWv,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-13 00:00:00
NXT6tsghomC7vqJFeDxoFX1a8,Interest,NEXO,0.69628690,NEXO,0.69628690,$0.69,-,-,"approved / NEXO Interest Earned",2025-12-12 06:00:00
NXT54kwopN6InD0s3p6Anu7Sl,Interest,NEXO,4.31822503,NEXO,4.31822503,$4.30,-,-,"approved / 2.114082 XRP",2025-12-12 06:00:00
NXT7M9rgVvOakYowjcZcpyfFc,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-12 00:00:00
NXT7BCNalluadHRqSzlyRnNFC,Interest,NEXO,0.69587519,NEXO,0.69587519,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-11 06:00:00
